pde_type,method,seed,L2_error,Linf_error,training_time,source_shard
burgers_hires,CARS,789,0.2593610362460801,1.423910876161691,1022.0525118749996,production_results_shard_s789.csv
burgers_hires,CARS,1024,0.2167826729685435,0.7349226238554338,1021.240830542,production_results_shard_s1024.csv
burgers_hires,CARS,2025,0.2231399856377648,1.2092548354652612,1021.8821977499996,production_results_shard_s2025.csv
burgers_hires,CARS,2718,0.232777211593415,1.337454686447454,1011.8368743330008,production_results_shard_pAB.csv
burgers_hires,CARS,9001,0.2511650666775224,1.3617198768891192,477.5938115000008,production_results_shard_pCD.csv
burgers_hires,CARS,31415,0.3947932025546443,1.491776624817131,476.9567359579996,production_results_shard_pAB.csv
burgers_hires,PACMANN,42,0.0279286097998667,0.1932584048913303,1129.173254791,production_results_shard_s42.csv
burgers_hires,PACMANN,123,0.0437912811385752,0.6268617965933013,1129.4098368749997,production_results_shard_s123.csv
burgers_hires,PACMANN,456,0.2678703310804866,1.92016365855272,1125.892757875,production_results_shard_s456.csv
burgers_hires,PACMANN,777,0.0386979035601563,0.5207833841133872,1126.7102357080005,production_results_shard_pCD.csv
burgers_hires,PACMANN,789,0.0128271780329503,0.1146774228465663,1128.657218541,production_results_shard_s789.csv
burgers_hires,PACMANN,1024,0.0978842586402827,1.021930372772625,1128.9620783339997,production_results_shard_s1024.csv
burgers_hires,PACMANN,2025,0.0276506920059146,0.3938002227762804,1127.497574958,production_results_shard_s2025.csv
burgers_hires,PACMANN,2718,0.0237239747564048,0.1679336356024319,1123.24019525,production_results_shard_pAB.csv
burgers_hires,PACMANN,9001,0.049288873909862,0.6007263105509365,491.04291162499976,production_results_shard_pCD.csv
burgers_hires,PACMANN,31415,0.0723072839703747,1.0368934984335365,491.0808077090005,production_results_shard_pAB.csv
burgers_hires,RAR_D,42,0.3056333376356022,1.8884832686984545,1058.707109958,production_results_shard_s42.csv
burgers_hires,RAR_D,123,0.3218604921592515,1.823852149640966,1062.520976959,production_results_shard_s123.csv
burgers_hires,RAR_D,456,0.0767912525794049,0.9348532388004316,1058.2605307919998,production_results_shard_s456.csv
burgers_hires,RAR_D,777,0.179644098862772,1.3659850522117962,1063.861502042,production_results_shard_pCD.csv
burgers_hires,RAR_D,789,0.4653784266272063,1.9963364880916976,1059.7747985,production_results_shard_s789.csv
burgers_hires,RAR_D,1024,0.2668070470902556,0.8040570634323655,1059.7756297500002,production_results_shard_s1024.csv
burgers_hires,RAR_D,2025,0.3189884130010794,1.8794797359586657,1058.7437075,production_results_shard_s2025.csv
burgers_hires,RAR_D,2718,0.4958785862546157,1.8714319550487049,1064.372652834,production_results_shard_pAB.csv
burgers_hires,RAR_D,9001,0.5193951051179324,1.957319752926229,467.5768904999986,production_results_shard_pCD.csv
